Exon	Cov_min_total	Cov_max_total	std_median	mean_median	median_median	mad
ABCC8_17426980	0	901	92.7049333984899	380.447916666667	376	87.84405
ABCC8_17427784	3	919	96.0287609980978	370.65625	371.75	97.8516
ABCC8_17428226	3	990	116.182007493623	478.666666666667	489.75	93.03315
ABCC8_17428496	2	763	88.5629502996605	344.114583333333	355.75	98.22225
ABCC8_17430724	2	921	97.6631182336534	419.520833333333	426	93.4038
ABCC8_17432104	2	796	88.444125663391	312.84375	314.25	81.17235
ABCC8_17442630	0	1130	130.748798185491	542.666666666667	552.75	143.8122
ABCC8_17443124	2	906	100.456131705153	403.541666666667	400	87.4734
ABCC8_17448426	1	1149	120.369332275635	501.270833333333	507.5	113.4189
ABCC8_17453028	0	926	108.98334537917	448.802083333333	449.5	106.7472
ABCC8_17460397	0	1248	174.300356427881	712.864583333333	728	185.325
ABCC8_17461493	3	1437	196.158478004158	828.854166666667	852	182.3598
ABCC8_17463347	0	1238	138.363534364528	596.354166666667	607	143.8122
ABCC8_17470040	0	630	72.2804567514033	283.90625	280.25	73.3887
ABCC8_17474796	0	1096	102.769089247629	462.59375	463.25	90.06795
ABCC8_17476538	0	1138	122.356515602811	374.739583333333	387.25	114.53085
ABCG1_42218973	0	838	144.472033417255	341.041666666667	318	156.78495
ABCG1_42225581	1	1250	180.573995841845	713.260416666667	716.5	194.59125
ABCG1_42271008	2	1068	113.642010933176	467.5625	475	106.7472
ABCG1_42273249	2	936	111.009531230143	426.78125	420.5	109.7124
ABCG1_42276800	2	1039	112.627889778026	460.71875	447.5	103.0407
ABCG1_42282184	4	1242	131.190065680803	574.833333333333	584	128.61555
ABCG1_42284500	2	632	72.0804433582113	291.010416666667	292.75	79.68975
ABCG1_42285817	2	1048	113.442316316292	451.604166666667	461	110.08305
ABCG1_42287799	0	1174	130.422470584379	545.645833333333	545.25	125.65035
ABCG1_42288141	2	993	107.922688706262	473.708333333333	458	107.85915
ABCG1_42289960	1	984	116.110043105362	459.729166666667	464.5	119.71995
ABCG1_42291022	2	880	93.7705668929517	406.53125	407	87.84405
ABCG1_42291408	3	1107	121.56423919429	492.385416666667	509.25	115.27215
ABCG1_42294480	1	844	88.8832582621203	363.270833333333	356.75	69.31155
ABCG1_42296073	4	1218	198.127778410838	763.729166666667	771	214.60635
ABCG5_43812826	4	1331	144.42706837942	615.302083333333	623.25	128.2449
ABCG5_43814413	0	903	92.902774022627	340.760416666667	341	81.17235
ABCG5_43819824	0	988	106.020036912606	414.916666666667	429.25	107.11785
ABCG5_43822746	1	845	101.333016378342	380.197916666667	387.25	108.60045
ABCG5_43823822	5	1345	161.19194175816	674.15625	684.75	159.00885
ABCG5_43824832	2	1098	123.312319257541	496.114583333333	525.75	107.85915
ABCG5_43826331	1	913	105.42391419596	429.270833333333	430	132.32205
ABCG5_43827929	0	983	112.115271524635	431.53125	428	108.9711
ABCG5_43831668	2	848	112.035233325082	441.572916666667	461.5	94.1451
ABCG5_43837774	0	1046	126.159146352269	501.385416666667	510.75	110.4537
ABCG5_43838446	0	1129	172.962772200771	732.416666666667	735.25	149.7426
ABCG8_43844436	0	813	77.8390995650598	339.572916666667	347.75	61.5279
ABCG8_43845317	3	938	93.165887187645	409.479166666667	413.5	73.75935
ABCG8_43846064	5	1466	178.055249501384	748.15625	766	189.7728
ABCG8_43851493	2	899	119.186692385702	479.854166666667	500.5	110.82435
ABCG8_43852299	1	943	74.3507954237333	314.208333333333	320	69.31155
ABCG8_43871886	3	1047	151.153372730369	607.65625	604	159.3795
ABCG8_43873696	2	1011	128.384116120972	510.114583333333	527.5	135.28725
ABCG8_43874324	1	1205	121.940208505458	479.104166666667	508.25	101.92875
ABCG8_43875056	0	1230	126.799553083731	549.71875	555.75	123.7971
ABCG8_43877470	0	1186	175.297732734769	716.864583333333	722.25	180.50655
ACTA2_88990586	4	1361	154.108135333235	605.041666666667	643.75	124.90905
ACTB_5527387	3	1101	130.212004912774	455.1875	474.25	126.7623
ACTB_5527809	1	1248	160.177289852205	665.291666666667	676.75	166.42185
ACTB_5529051	0	917	113.930584483157	464.302083333333	491.5	96.73965
ACTB_5530433	0	848	123.711421649867	376.322916666667	393.75	119.71995
ACTN1_68874568	0	894	117.575038284746	464.5625	495.75	83.0256
ACTN1_68876992	3	991	118.057617090191	483.510416666667	485.25	105.63525
ACTN1_68878370	2	1053	115.387258459908	465.6875	476.25	111.195
ACTN1_68878908	0	869	100.104116344147	373.53125	379	100.8168
ACTN1_68879872	7	1025	105.11690342911	467.895833333333	487.5	91.55055
ACTN1_68880748	1	1018	112.060961673572	468.270833333333	472.5	107.4885
ACTN1_68882404	1	908	108.87710992899	448.15625	457.5	116.75475
ACTN1_68882782	2	826	115.56102744364	467.5	468.75	116.3841
ACTN1_68884078	3	1023	100.682691272177	425.96875	430.25	95.99835
ACTN1_68884708	0	1092	126.37575849819	477.052083333333	476	130.83945
ACTN1_68885334	0	949	113.171383167677	450.0625	475	95.99835
ACTN1_68889999	1	1415	134.173295753811	573.322916666667	581.75	121.20255
ACTN1_68891963	2	1296	137.047629487806	550.229166666667	559.75	129.35685
ACTN1_68893581	8	642	66.200332646847	280.125	286.25	50.03775
ACTN1_68902398	0	779	94.8422817092814	350.010416666667	362.25	96.73965
ACTN1_68904574	5	934	105.300119887049	419.208333333333	438.5	95.99835
ACTN1_68909237	5	795	89.0416668740894	343.666666666667	339	83.7669
ACTN1_68909877	2	794	87.4797443626744	345.916666666667	359.25	74.8713
ACTN1_68912079	2	880	103.946274652747	368.791666666667	377	120.46125
ACTN1_68920944	2	921	100.166596600204	413.1875	434.75	72.27675
ACTN1_68925494	1	662	69.6521745611671	282.572916666667	284.75	62.2692
ACTN1_68978852	0	824	109.904858919815	288.916666666667	275	131.9514
ACVRL1_51907406	0	617	83.1848322235294	214.666666666667	217.75	95.25705
ACVRL1_51912185	0	1338	151.186581863144	642.229166666667	673.5	137.51115
ACVRL1_51913009	2	991	129.771095099128	525.510416666667	537.25	132.32205
ACVRL1_51913469	2	1296	156.580174201634	659.427083333333	673	148.26
ACVRL1_51913903	2	925	102.567595230229	414.489583333333	425	95.6277
ACVRL1_51914349	4	914	101.612129308932	404.333333333333	411.75	126.021
ACVRL1_51915135	2	1063	151.042357909888	627.3125	660.75	120.8319
ACVRL1_51915945	3	882	115.653736605352	487.895833333333	510	111.195
ACVRL1_51918929	2	709	84.955510233131	318.885416666667	320	89.32665
ACVRL1_51920668	0	716	93.9365071518338	354.333333333333	352.5	101.18745
ADAMTS13_133422143	1	1318	167.003006924452	644.96875	656.25	170.86965
ADAMTS13_133423014	1	1209	127.401411177567	535.052083333333	554.25	110.4537
ADAMTS13_133424230	2	1114	139.577223852747	545.416666666667	557.25	142.70025
ADAMTS13_133425449	2	1128	119.629187992232	498.03125	502.5	121.94385
ADAMTS13_133425879	1	1317	131.214618669119	541.854166666667	550.25	128.61555
ADAMTS13_133428582	0	719	108.138846836072	168.270833333333	143.5	109.7124
ADAMTS13_133429848	2	1489	158.232019190691	551.395833333333	547.75	170.86965
ADAMTS13_133432519	2	1005	111.255550104604	444.729166666667	445.75	113.04825
ADAMTS13_133433287	2	1119	152.151607622554	605.125	589	129.35685
ADAMTS13_133436772	2	1145	127.080867462415	467.03125	488	110.4537
ADAMTS13_133437659	2	1162	138.172532818048	555.427083333333	565.25	127.13295
ADAMTS13_133438185	5	997	109.588628253008	432.802083333333	421	106.0059
ADAMTS13_133439285	0	831	83.765608659813	347.59375	346.75	83.0256
ADAMTS13_133440253	1	1127	145.645846680027	581.072916666667	585.5	147.5187
ADAMTS13_133442309	2	1381	166.899785990965	723.8125	764	138.99375
ADAMTS13_133443285	3	1145	161.237130101062	640.364583333333	680.5	125.65035
ADAMTS13_133444772	6	793	103.540347751921	430.135416666667	438.25	88.2147
ADAMTS13_133445638	1	1133	117.375826570553	518.979166666667	532.75	101.5581
ADAMTS13_133448543	3	1208	136.006364822251	561.864583333333	577.25	123.0558
ADAMTS13_133449693	3	1257	143.183071080249	587.458333333333	598.25	114.53085
ADAMTS13_133454324	1	1319	142.794683716499	606.552083333333	606.5	131.58075
ADAMTS13_133455184	1	1324	154.446626792178	653.989583333333	661.5	147.14805
ADAMTS13_133455978	0	1174	115.466360406996	495.34375	503.75	118.23735
ADAMTS13_133456452	1	1162	144.528442300695	582.885416666667	581.75	151.2252
ADAMTS13_133457820	4	1098	125.671419743107	511.635416666667	521	107.11785
ADAMTS13_133458884	3	1402	170.708951432814	712.166666666667	730	156.04365
ADIPOQ_186842459	0	791	111.3178626989	449.90625	458.5	115.27215
ADIPOQ_186852769	1	1446	151.033971435178	619.822916666667	624.25	152.33715
ADIPOQ_186854093	2	1237	152.245484333691	680.1875	694.5	127.5036
ADIPOR1_202941282	2	1011	140.289290380868	567.260416666667	592.5	123.7971
ADIPOR1_202941934	4	1192	177.221529825993	708.552083333333	720.25	181.6185
ADIPOR1_202943637	1	1015	123.104203611447	518.4375	537	106.37655
ADIPOR1_202944843	0	1030	140.660558152173	546.21875	559	122.3145
ADIPOR1_202946349	2	1054	121.462687263057	490.166666666667	495.5	118.23735
ADIPOR1_202948241	7	645	79.2715442391772	303.28125	303.25	77.0952
ADIPOR1_202950840	1	1260	152.796705898175	663.666666666667	666	139.73505
ADIPOR1_202958095	0	918	152.511997769528	329.510416666667	305.5	191.62605
ADIPOR2_1690901	0	692	62.3741250169588	179.895833333333	180.25	70.4235
ADIPOR2_1754053	0	1097	135.934795053385	572.885416666667	571.75	113.4189
ADIPOR2_1772780	3	959	102.25034409677	396.677083333333	408.75	89.6973
ADIPOR2_1777763	0	881	97.39524685036	406.96875	420.5	94.8864
ADIPOR2_1780361	0	1075	138.441355328703	522.708333333333	544.5	135.28725
ADIPOR2_1780799	0	1053	133.150300595826	525.885416666667	543	125.65035
ADIPOR2_1783789	1	1270	174.279715444528	697.96875	713.5	181.6185
ADIPOR2_1785853	1	1115	144.849861130425	591.083333333333	613	128.61555
AFF1_87108990	2	1250	120.011655388458	453.895833333333	462.25	115.27215
AGPAT2_136673461	1	1105	133.513157355583	555.364583333333	575.5	127.5036
AGPAT2_136674651	4	915	98.7004027527046	434.833333333333	433	100.0755
AGPAT2_136676511	1	1481	162.101387807378	655.708333333333	654.25	151.9665
AGPAT2_136676871	3	1300	162.413310209888	650.291666666667	666	159.75015
AGPAT2_136677369	0	848	88.6502054805153	364.864583333333	381.75	84.87885
AGPAT2_136687086	0	1155	182.612490530344	418.885416666667	468.75	241.29315
AK1_127867717	0	1069	127.945050937491	503.427083333333	513	142.70025
AK1_127868231	0	1025	140.674047002281	564.3125	574.75	144.92415
AK1_127871761	2	926	104.327897385466	422.65625	426.25	98.22225
AK1_127872599	1	1210	128.111154761366	521.572916666667	526.5	126.39165
AK1_127874521	1	1172	133.065611649089	535.229166666667	541.5	147.5187
AK1_127877533	0	811	75.7458539932261	280.541666666667	293.25	64.12245
AKT2_40233581	0	989	73.6310157809131	273.489583333333	283.25	74.50065
AKT2_40234975	2	645	75.6216194074718	314.15625	325.5	80.8017
AKT2_40235799	2	1199	149.97272653944	615.395833333333	627.5	146.7774
AKT2_40236201	2	917	110.120195453915	438.75	446.75	106.0059
AKT2_40237910	0	1073	114.939575167635	463.104166666667	481.5	106.7472
AKT2_40238818	2	864	93.7816589570561	358.645833333333	369.25	89.32665
AKT2_40239956	4	921	102.530100665869	423.4375	412.25	88.2147
AKT2_40241882	1	634	77.7783237273983	287.270833333333	295.75	64.4931
AKT2_40242444	1	1118	128.39832634553	524.947916666667	535	118.97865
AKT2_40255093	2	930	96.3428584029363	398.770833333333	398.75	92.29185
AKT2_40256869	2	726	78.1053798058106	317.833333333333	322	76.72455
AKT2_40265131	5	1125	176.854427042021	705.71875	730	203.8575
AKT2_40285090	0	720	85.3439166492993	209.78125	205	103.41135
ALAS2_55013395	0	1157	191.83064033161	457.989583333333	460.25	258.7137
ALAS2_55014657	0	1266	235.282293995761	576.552083333333	597.25	294.2961
ALAS2_55015487	4	1372	210.195052262339	513.114583333333	533.75	259.455
ALAS2_55017395	0	1392	241.206651013001	584.104166666667	614.25	303.56235
ALAS2_55020229	0	1262	248.515439679037	603.458333333333	612.5	334.69695
ALAS2_55020961	3	1409	237.716105255187	592.739583333333	631.5	306.8982
ALAS2_55023692	2	1376	206.63465956964	475.395833333333	477.25	266.868
ALAS2_55024658	2	1358	202.823395561839	511.25	542.75	260.1963
ALAS2_55025729	0	1746	259.251305205753	640.489583333333	653.25	337.66215
ALAS2_55030851	0	998	151.952968633122	357.052083333333	372	174.9468
ALDH1A2_58431742	2	1384	154.981061171385	613.15625	633.25	142.3296
ALDH1A2_58438835	0	858	91.503845765594	344.40625	357	70.79415
AMN_102922398	0	1341	144.225910863346	612.40625	630.25	119.3493
AMN_102923650	6	940	127.819296690222	518.5625	540.25	126.39165
AMN_102928348	3	742	82.0562182957081	312.645833333333	326.5	67.4583
AMN_102928668	3	1469	163.891326864104	680.625	708.5	146.40675
AMN_102929068	1	943	130.56960420616	415.8125	403.5	163.086
AMN_102929362	0	1093	104.932665318701	431.552083333333	448	80.43105
AMN_102929834	0	1387	124.357583245407	483.25	495.25	110.08305
AMPD1_114672823	3	1029	118.428539795611	456.739583333333	444.75	70.79415
